날짜,시가,고가,저가,종가,거래량,등락률
2024-12-02,49250,51000,48300,48950,287940,-0.6091370558375634
2024-12-03,48950,53400,48900,52600,830198,7.456588355464761
2024-12-04,51000,52900,49850,51100,549582,-2.8517110266159698
2024-12-05,52400,54900,51800,53600,903700,4.892367906066536
2024-12-06,54900,55000,50700,53800,721156,0.3731343283582089
2024-12-09,52200,53700,50200,50500,437926,-6.133828996282528
2024-12-10,50900,54300,50900,53900,629303,6.732673267326733
2024-12-11,55900,58400,53500,54900,1341236,1.855287569573284
2024-12-12,55600,56700,53800,55300,1934684,0.7285974499089253
2024-12-13,55000,55900,53500,53800,520692,-2.7124773960216997
2024-12-16,53900,55400,52900,54300,390099,0.929368029739777
2024-12-17,54100,54200,52500,52800,228601,-2.7624309392265194
2024-12-18,53500,53500,51500,51600,263421,-2.272727272727273
2024-12-19,50000,50700,49050,49500,629317,-4.069767441860465
2024-12-20,49300,49400,47000,47250,539098,-4.545454545454546
2024-12-23,47700,48750,47250,48150,388208,1.9047619047619049
2024-12-24,48550,50900,47600,50900,520069,5.711318795430945
2024-12-26,51200,51500,50000,50200,266654,-1.37524557956778
2024-12-27,49600,50300,48750,49000,269999,-2.3904382470119523
2024-12-30,48900,50500,48800,50000,230639,2.0408163265306123
2025-01-02,50400,51400,49600,51100,228565,2.1999999999999997
2025-01-03,51700,54500,51200,54100,647644,5.870841487279844
2025-01-06,54500,56200,52700,54300,736956,0.36968576709796674
2025-01-07,54300,55100,53500,54700,303999,0.7366482504604052
2025-01-08,54000,56000,53200,55400,695507,1.2797074954296161
2025-01-09,56000,56000,53500,54200,491611,-2.166064981949458
2025-01-10,54200,54200,52000,52100,347627,-3.8745387453874542
2025-01-13,51600,53400,51000,52300,256134,0.3838771593090211
2025-01-14,52600,52700,50900,51300,302500,-1.9120458891013385
2025-01-15,51400,51500,49950,50200,335135,-2.144249512670565
2025-01-16,50600,51200,50200,50900,312817,1.394422310756972
2025-01-17,50600,50900,50000,50300,303755,-1.1787819253438114
2025-01-20,50200,50300,49100,49600,368768,-1.3916500994035785
2025-01-21,50100,51300,49500,49550,473636,-0.10080645161290322
2025-01-22,49600,50400,49500,49700,245632,0.30272452068617556
2025-01-23,49600,49650,47100,47200,563040,-5.030181086519115
2025-01-24,47700,47950,46550,46700,374871,-1.059322033898305
2025-01-31,46450,47300,45500,46200,362823,-1.070663811563169
